,lat_distance,lon_distance,x_distance,el,slope_angle,aspect,cardinal,aspect_x,aspect_y,el_ft,drop,tree_cover
0,0.0,0.0,0.0,3369.099609375,22.85335932559229,44.71406522895297,NNE,0.710626779921588,0.7035691719072653,11053.476762421875,,BTL
1,5.0982809190935345,5.047647211934576,7.174343921651938,3366.075927734375,22.85335932559229,44.71406522895297,NNE,0.710626779921588,0.7035691719072653,11043.556546748046,-9.920215673828352,BTL
2,10.196558128053457,10.095290750582826,14.348682622372557,3363.279052734375,21.298039661259725,44.71406522895297,NNE,0.710626779921588,0.7035691719072653,11034.380447373047,-9.176099374999467,BTL
3,15.294831745346421,15.142930733234852,21.523016268869128,3360.555908203125,20.78513876604151,44.71406522895297,NNE,0.710626779921588,0.7035691719072653,11025.446245869141,-8.93420150390557,BTL
4,20.39310176921994,20.190567156747818,28.697344857685092,3357.748046875,21.374191430324633,44.71406522096367,NNE,0.7106267800196934,0.7035691718081758,11016.234102109374,-9.21214375976706,BTL
5,25.49136801737533,25.238199843449046,35.8716681342691,3354.5771484375,23.844410135110504,44.71406522895297,NNE,0.710626779921588,0.7035691719072653,11005.830891679687,-10.403210429687533,BTL
6,30.58963015903882,30.285828464442105,43.04598563216306,3350.93603515625,26.908728016084183,44.71406522895297,NNE,0.710626779921588,0.7035691719072653,10993.88498158203,-11.945910097656451,BTL
7,35.687887859530235,35.333452688370706,50.22029688040221,3346.9306640625,29.1743376641767,44.71406522895297,NNE,0.710626779921588,0.7035691719072653,10980.743999882812,-13.140981699218173,BTL
8,40.7861411288379,40.38107252512396,57.39460189304219,3343.315673828125,26.7426301922688,44.71406522895297,NNE,0.710626779921588,0.7035691719072653,10968.883795322266,-11.860204560545753,BTL
9,45.88439045891452,45.42868846176875,64.56890136236302,3340.53466796875,21.188048510814838,44.71406522895297,NNE,0.710626779921588,0.7035691719072653,10959.759760058594,-9.12403526367234,BTL
10,50.98263630841835,50.47630095100041,71.74319593280202,3338.074462890625,18.927838282042256,44.71406522096367,NNE,0.7106267800196934,0.7035691718081758,10951.688220830078,-8.071539228516485,BTL
11,56.08087881607547,55.523910132982735,78.91748580155658,3335.635009765625,18.77942607984492,44.71406522895297,NNE,0.710626779921588,0.7035691719072653,10943.684765439453,-8.003455390624367,BTL
12,61.17911798160867,60.571516006033534,86.09177096724616,3333.179443359375,18.894707041480164,44.71406522895297,NNE,0.710626779921588,0.7035691719072653,10935.628444951171,-8.056320488281926,BTL
